SimpleName	Norm_Acute_Neg	Norm_Acute_Low	Norm_Acute_M1	Norm_Acute_M2	Norm_Acute_High	Norm_Chronic_Neg	Norm_Chronic_Low	Norm_Chronic_M1	Norm_Chronic_M2	Norm_Chronic_High
158	-0.20553707590662668	-0.23734457810347423	-0.13091981606248088	-0.3288854403488869	-0.1372624307764694	0.023141957574042856	-0.20293092383848443	-0.5580744213333444	-0.36854662557497614	0.2159595504800882
161	0.17555102517226864	0.14287338004622843	0.10100306046574026	-0.12797445109958341	-0.5334891272730242	0.2551444477256266	0.4725374545326554	0.3660574288862787	0.6740431111901417	-0.7848118792741632
169	-0.0822318796908285	-0.19501039360443237	-0.20748464640632075	-0.36780889212152046	0.1436144228896822	0.11853819912064387	-0.40686084367756764	-0.7504500667549112	-1.8181524764220005	-0.866530413355281
170	0.6872798888796247	0.8924677522629156	0.8595844576654581	-0.32678541456152915	-0.15607146834835164	0.41601255872640963	0.4491311399279422	0.3644877658871952	-0.3206235998375202	-0.5419312137043439
216	0.08619456539712786	-0.07515049249749044	-0.19032222505643884	-0.12540920376390882	0.16215397420024155	0.40568758470043775	0.3771619825943562	0.190914946208698	-0.42550200703125846	-0.03184018387865717
22	0.09984571245675154	-0.14045656433032264	-0.42295336986553034	-0.3818454585324583	-0.3711501271254587	0.2508432462196543	-0.03445709692977523	-0.30495644600680194	-0.6138495423393672	-1.1258870768012774
259	-0.07279459902928323	-0.3354912395050283	-0.6053925169569631	-0.8712808007205668	1.387876742895536	-0.3456013732335429	-0.7432177688256985	-1.9560236437234917	-2.023288327109697	-1.8055814186071952
332	-0.006334437122610933	0.3412699461066132	0.6017849278108196	0.4555780557112713	-0.18415762047193493	0.5625049121076517	0.617188122426282	0.42858243993341844	-0.12877310306036596	-0.059232133589485966
356	0.32721215670961545	0.3069999048893851	0.18704905681274092	-0.523964806891083	-0.0925390496202811	-0.15808574256828736	0.03478252173849846	0.07586580962896823	-0.7877777407829503	-0.6800408772792161
38	0.3783741278688795	0.4140683411938761	0.3379163771798074	-0.45777268494240997	-0.5638739464172495	0.2962246332827957	0.14170420126633018	0.0022477611372816115	-0.0663398344064672	-1.0990637453140866
40	0.5264065904779017	0.4574559983610175	0.194249434843597	0.06715851575018497	-0.6218190157028919	0.28002510728842483	0.06847711323647451	-0.08365919183795226	-1.4462072026162378	-0.07938668492587056
400	0.14912417271620523	0.2323620015086277	0.26744452516227213	-0.3290241928701364	-0.12899625491446975	-0.5820477204306	-0.3668637535302663	-0.16900653908117477	0.15770643498502954	-0.794163863043598
46	0.19390762111556362	0.289323813646816	0.32872998008704	-0.32937199913194515	-0.5495431825589933	-0.15629766052703462	-0.3526875118268384	-0.40877683755482397	-0.5626169704258656	-0.8226266386630725
461	0.023433346385313636	-0.013356416021267721	-0.020311353206270977	-0.38184772566979724	-0.6067696370017419	0.5684655898753239	0.028748753923029623	-0.8070843383276598	0.0013570418155190375	-0.8968382501207222
462	-0.6428460668239185	-0.7930681088444678	-0.6480797768362374	-0.5256293702167555	-0.05629727446707496	-0.43097595431843305	-0.6488205962220313	-0.7430483591933449	-0.30205969932149573	-0.45776917371040426
468	0.1301181765846185	0.061198962540955436	-0.0036883700251810056	-0.3903709578490304	-0.5053471820095824	0.20865923132872538	-0.20174026956633048	-0.6465815481673244	-0.2545274542271272	0.13257513151449307
481	0.3439625267057355	0.4971231352023203	0.5764498396337204	-0.036078865107013164	-0.6856997686092553	-0.06783209210303306	-0.11889535157388766	-0.07381132667188338	-0.025980830377652923	-0.5253777495931388
51	0.10989032573065266	0.24941783669364176	0.3230285976069922	0.13735629349863374	-0.5004827874909674	0.7075363089882929	0.7650786145629033	0.38688424016928996	0.4235525814653183	-0.46322654066639113
53	-0.062039847811889155	-0.06825065905895274	-0.04456604513434739	-0.4947421396957396	0.04516683737714822	-0.3419591161373953	-0.2971116305532397	-0.15521822412009179	-0.9505205792085542	-0.48302657645509733
6	0.9480965421851517	1.0407091489436993	0.8400440635862954	-0.5417070393570672	-0.4587073037828499	0.09799390485876112	0.21260742740655209	0.3441467568237463	0.13949331464828307	-0.9025384328441322
65	0.27681683940475305	0.2985123159166189	0.21094519696051217	-0.31037993155457805	-0.814639374365825	-0.22959078125948115	-0.4312975961833866	-0.5305038645913684	-0.2954245080705289	-0.43082169198975245
78	0.05263903921622969	0.024390718492983476	0.022881360210087482	-0.3162720668344753	-0.2181208555170743	0.5138537425216221	0.33006438751111433	-0.078766385965773	-0.12044858419830251	-0.31190991851496314
ClosedChromatinRegion	0.14737907790393387	-3.8970378726617915e-4	-0.2706778605825257	-0.5520767292753636	-0.47596818775198535	-0.3013395133237888	-0.3427866038132343	-0.637389991403089	-0.604886392576203	-1.0958661148945095
NonTargeting	-4.611473240305012e-18	2.3382626853270712e-18	3.7897835188325607e-17	-5.3635481472857903e-17	1.2059942165280428e-17	4.0621441395790235e-17	-6.938893903907228e-18	2.822991406609132e-17	4.6331572837547224e-18	3.191710495435244e-17
sgIFNG	3.0465036212707557	3.081982367375845	1.874045519084198	-2.3941826475544934	-2.6237413777414793	0.803923729635326	0.3242513820597531	-0.9192848134505825	-2.489484758040397	0.005297857888170614
